ethereum_address,ether_balance,unique_tokens,unique_transfers,mined_blocks,outgoing_txns,incoming_txns,total_eth_sent,avg_eth_sent,total_usd_sent,avg_usd_sent,total_eth_recd,avg_eth_recd,total_usd_recd,avg_usd_recd,active_months,monthly_outgoing_txns,monthly_incoming_txns,monthly_eth_sent,monthly_usd_sent,monthly_eth_recd,monthly_usd_recd,contracts_created,contract_txns_sent,incoming_avg_time_btwn_txns,incoming_std_time_btwn_txns,outgoing_avg_time_btwn_txns,outgoing_std_time_btwn_txns,num_tokens_used,Entity
0xe135eca22512f5281b06d4f4242a43b84eeec710,440.467578711052,121,1616,0,140,12212,47304.312979,337.88794985,20748210.78368515,148201.5055977511,48925.846588132,4.006374598,22968372.509086806,1880.8035136821768,14,10.0,872.2857142857143,3378.8794985,1482015.0559775108,3494.703327724,1640598.0363633432,2,210,2852.0502825321437,57117.28560177661,234427.01438848928,265737.8143716364,75,
0xd2d30e6febdcc00fe049ac23d208af81d38cddf1,132.60328101148085,50,5,0,11,13,152.01,13.819090909,148788.41270000002,13526.219336363636,234.95663335,18.073587181,141648.0356461751,10896.00274201347,14,0.7857142857142857,0.9285714285714286,10.857857143,10627.743764285715,16.782616668,10117.71683186965,0,0,1937121.5,2777647.967462809,655755.5000000001,531268.1528992157,46,
0x7967455bee8f46046174bb3a93a512d820abe497,620.5356774582427,60,19,0,18,28,279.1,15.505555556,130443.78800000002,7246.877111111113,2289.205259137,81.757330683,530522.6284809246,18947.23673146159,18,1.0,1.5555555555555556,15.505555556,7246.877111111112,127.178069952,29473.47936005137,0,0,1101424.5555555555,2948780.508886191,1712242.3529411764,2956175.185978305,32,
0x274f3c32c90517975e29dfc209a23f315c1e5fc7,975.8472378901836,654,17755,0,59807,76656,310011.428871388,5.183530839,109766838.2674486,1835.3510168951839,316577.041596119,4.129840346,112576503.21468921,1468.59349841749,11,5437.0,6968.727272727273,28182.857170126,9978803.478858965,28779.731054193,10234227.564971747,0,0,325.44091057334805,6457.051250781662,414.84857706584603,7041.914115701819,316,Exchange
0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,25161.14143771417,406,99751,0,354569,507223,24129238.646573309,68.052307581,14131437521.808165,39855.25390490645,25289233.372930583,49.858214972,14927456128.76484,29429.76980295624,12,29547.416666666668,42268.583333333336,2010769.887214442,1177619793.4840138,2107436.114410882,1243954677.39707,0,0,58.09780727176658,124.77389649265722,83.10808646014303,204.66049719412436,203,Exchange
0xd7b9a9b2f665849c4071ad5af77d8c76aa30fb32,1925.7489990510712,91,1951,0,37,281197,63005.883840749,1702.861725426,13102185.119550351,354113.11133919883,70464.32284861,0.250587036,14717152.968966294,52.33751771521912,3,12.333333333333334,93732.33333333333,21001.96128025,4367395.039850117,23488.107616203,4905717.656322098,0,0,20.946937367530133,248.2759773700164,155524.1388888889,132883.90322106692,15,Exchange
0x72bcfa6932feacd91cb2ea44b0731ed8ae04d0d3,273.8553174279805,161,30446,0,44006,21486,282754.856471581,6.425370551,75454097.96496563,1714.6320493787348,284549.592570709,13.243488438,76982502.29433507,3582.9145627075795,6,7334.333333333333,3581.0,47125.80941193,12575682.994160937,47424.932095118,12830417.049055845,0,0,546.4309983709566,6950.597137881181,264.358345642541,4723.817775093568,43,Exchange
0x521db06bf657ed1d6c98553a70319a8ddbac75a3,148.88167081020345,366,11608,0,3448,5106,2690.811265634,0.780397699,871657.1764141046,252.8008052245084,3410.035518725,0.667848711,1186405.5866977717,232.35518736736586,16,215.5,319.125,168.175704102,54478.57352588154,213.12721992,74150.34916861073,13210,18223,7745.6215475024455,78320.63194836785,11470.542790832595,109786.43265368821,152,Exchange
0x4b01721f0244e7c5b5f63c20942850e447f5a5ee,119.07815153911785,563,32577,0,344182,132596,233295.913862957,0.677827178,125073229.93996404,363.39271065873425,238797.179608649,1.800938034,125698031.66421457,947.9775533516594,29,11868.344827586207,4572.275862068966,8044.68668493,4312869.997929795,8234.385503747,4334414.884972916,0,0,547.6294581243634,20316.274963051284,210.9809141120517,11439.296392777123,278,Exchange
0xadb2b42f6bd96f5c65920b9ac88619dce4166f94,290.07252191845663,360,302648,0,8142,2419,101214.7451,12.431189523,29556520.07700314,3630.1301986002013,107410.656180041,44.402916982,32163575.353158016,13296.227926067799,19,428.5263157894737,127.3157894736842,5327.091847368,1555606.3198422706,5653.192430528,1692819.7554293692,0,0,18431.56534325889,344522.205902182,5620.761454366784,81337.98807362672,222,Exchange
